Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Dept-User creation/input_NYDOH 1""), ""NYDOH 1"")",Chrome 113.0.0.0,,,2023-05-22 13:15:21,2023-05-22 13:15:22,0.831s,PASSED
"setText(findTestObject(""Dept-User creation/input_CADOH 1""), ""CADOH 1"")",Chrome 113.0.0.0,,,2023-05-22 13:15:22,2023-05-22 13:15:22,0.854s,PASSED
"setText(findTestObject(""Dept-User creation/input_FLDOH 1""), ""FLDOH 1"")",Chrome 113.0.0.0,,,2023-05-22 13:15:22,2023-05-22 13:15:23,0.907s,PASSED
"setText(findTestObject(""Dept-User creation/input_NYSPFI 1""), ""NYSPFI 1"")",Chrome 113.0.0.0,,,2023-05-22 13:15:23,2023-05-22 13:15:24,0.825s,PASSED
"setText(findTestObject(""Dept-User creation/input_AU-ID 1""), ""AU-ID 1"")",Chrome 113.0.0.0,,,2023-05-22 13:15:24,2023-05-22 13:15:25,1.032s,PASSED
"click(findTestObject(""Dept-User creation/button_Finish""))",Chrome 113.0.0.0,,,2023-05-22 13:15:25,2023-05-22 13:15:26,0.943s,PASSED
"Text = getText(findTestObject(""Dept-User creation/div_Success Dpt Created""))",Chrome 113.0.0.0,,,2023-05-22 13:15:26,2023-05-22 13:15:28,2.101s,PASSED
println(Text),Chrome 113.0.0.0,,,2023-05-22 13:15:28,2023-05-22 13:15:28,0.000s,PASSED
logInfo(Text),Chrome 113.0.0.0,,,2023-05-22 13:15:28,2023-05-22 13:15:28,0.000s,PASSED
delay(2),Chrome 113.0.0.0,,,2023-05-22 13:15:28,2023-05-22 13:15:30,2.003s,PASSED
"scrollToElement(findTestObject(""Dept-User creation/input_ADD""), 2)",Chrome 113.0.0.0,,,2023-05-22 13:15:30,2023-05-22 13:15:31,0.417s,PASSED
